Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
88feacbd-6c65-4452-bfcd-71a74e7c97ad,2016-11-20 08:33:16,Circuit Training,,0.00,35:00,,,331.96142,0,,"","",
a0eca75e-a7c2-4e89-924d-0a0d6a2e0c21,2016-10-28 07:18:05,Running,,2.00,40:00,20:00,3.00,204.0,0,,"","",
