Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
563d1497-0c7b-4f4b-822f-42a6fed8fb49,2011-08-06 13:18:15,Cycling,,13.66,52:54,3:52,15.49,642.0,1065,,"","",2011-08-06-131815.gpx
457ffc85-c60a-4a0b-a3ca-9ddd46950db6,2011-08-04 08:27:56,Running,,3.94,36:11,9:11,6.53,592.0,243,,"","",2011-08-04-082756.gpx
